SSE	227	13.176696035242291	15.74	3537.2502	546.14019999999982	7.80821917808219	0
Shell PLC	131	22.787099236641222	20.545	2664.4810500000003	-320.6289499999998	24.251587541578495	34.24
Balfour Beatty	687	2.9076710334788936	2.474	1682.64162	-314.92837999999983	-7.2713643178410825	0
COMEX GOLD	564	10.7077304964539	7.8145320000000007	4363.32208752	-1675.8379124799994	10.856297376527573	0
BASF	58	52.256379310344826	70.17507	4029.4525194000003	998.58251940000036	34.850152469395432	86.53
Syngenta	11	282.96363636363634	218.40039	2378.3802471	-734.2197529	0	55.83
Suez	340	8.8151764705882343	13.27284	4467.637944	1470.4779440000002	12.098659495689281	109.23
F&C Investment Trust	2686	3.7448026805658974	4.61	12258.635400000001	2200.0954	8.3431257344300924	322.64
Unilever	104	28.625	29.28	3014.6688	37.668799999999919	12.055109070034446	22.67
Tag Immobilien	398	7.6870351758793971	8.9765550000000012	3536.9422011	477.50220110000009	21.990051684924158	138.96
MSCI Hong Kong Index	235	12.698936170212766	15.428004	3589.3251305999997	605.07513059999974	20.478694182468939	45.39
FTSE MIB	304	9.8469407894736829	10.317	3105.00432	111.53432000000021	4.9648997863465283	1.22
Swedbank	195	15.672205128205128	16.258605	3138.72369525	82.643695250000292	6.7679762363738609	0
Templeton Emerging Markets Trust	824	6.0615898058252426	5.98	4878.2448	-116.5051999999996	44.305019305019322	271.92
British Land Plc	722	6.9198476454293631	8.693	6213.5825399999994	1217.4525399999993	5.4975728155339754	249.8
New India Investment Trust	1516	3.2976253298153031	3.715	5575.6205999999993	576.42059999999947	22.20394736842103	0
Vanguard FTSE 100 Tracker	320	31.15684375	33.21	10520.928	550.73799999999937	19.074937253495879	131.95
Verizon Communications	44	21.5625	33.04086	1439.2598616000003	490.50986160000025	10.10080992966164	77.63
Vodaphone	922	1.8157375271149674	2.269	2071.09782	396.98782000000006	0.68781894830264712	281.04
GSK	251	11.933227091633466	16.235	4034.2351499999995	1038.9951499999997	21.975957926371141	47.69
MSCI Japan Small Cap	313	15.958722044728434	21.325	6607.9777499999991	1612.8977499999992	6.9324307383728208	182.04
Daimler	82	60.244634146341468	52.816544	4287.64704192	-652.41295808	0	0
